label,count,positive,negative
Japan,305,0.0,0.0
Whaling,250,0.0,0.0
whaling,236,0.0,0.0
RT,146,0.0,0.0
Whale,93,0.0,0.0
Antarctic,88,0.0,0.0
Slaughter,63,0.0,0.0
Compilation,59,0.0,0.0
National Anthems,55,0.0,0.0
Nations,55,0.0,0.0
Epic,51,0.0,0.0
Current,50,0.0,0.0
Taiji,42,0.0,0.0
http,42,0.0,0.0
YouTube,42,0.0,0.0
Japanese,40,0.0,0.0
dolphin,38,0.0,0.0
Whale Slaughter,37,0.0,0.0
2Ft,35,0.0,0.0
News,34,0.0,0.0
Tweet,34,0.0,0.0
ForceChange,33,0.0,0.0
town,33,0.0,0.0
fleet,33,0.0,0.0
ships,33,0.0,0.0
Vine,31,0.0,0.0
Internet,31,0.0,0.0
Russia,30,0.0,0.0
activists,29,0.0,0.0
Pacific,28,0.0,0.0
YEET,28,0.0,0.0
Australia,27,0.0,0.0
Recipe,26,0.0,0.0
via,26,0.0,0.0
thecove,26,0.0,0.0
Japanese whaling,26,0.0,0.0
Alaska,25,0.0,0.0
Norway,25,0.0,0.0
Whales,25,0.0,0.0
Denounce Japan,24,0.0,0.0
whaling ship,24,0.0,0.0
whales,24,0.0,0.0
Ocean,22,0.0,0.0
ship,21,0.0,0.0
sail,20,0.0,0.0
Icelandic,20,0.0,0.0
's,19,0.0,0.0
court,18,0.0,0.0
National,18,0.0,0.0
Anthems,18,0.0,0.0
whale,18,0.0,0.0
Great Current Whaling,17,0.0,0.0
JAPAN,17,0.0,0.0
sued,17,0.0,0.0
BBC News,17,0.0,0.0
Canada,16,0.0,0.0
Iceland,16,0.0,0.0
ban,16,0.0,0.0
arguments,16,0.0,0.0
seashepherd,16,0.0,0.0
Stew,15,0.375,0.25
Craze,14,0.25,0.0
Maritime,14,0.0,0.0
Petition,14,0.0,0.0
Lebroning,14,0.0,0.0
Vine Internet Craze,14,0.0,0.0
port,13,0.0,0.0
Norwegian,13,0.0,0.0
Indonesia,13,0.0,0.0
Court,13,0.0,0.0
New Zealand,13,0.0,0.0
smh,12,0.0,0.0
Antarctica,12,0.0,0.125
base,12,0.0,0.0
Peace,12,0.125,0.0
WDC,12,0.0,0.0
Pig,12,0.0,0.0
Captain,12,0.375,0.0
Senkaku Islands,12,0.0,0.0
japan,11,0.0,0.0
YASUKUNI SHRINE,11,0.0,0.0
Recipes,11,0.0,0.0
scientific,11,0.0,0.0
a+,11,0.0,0.0
sharks,10,0.0,0.0
Pacific Ocean,10,0.0,0.0
Japan whaling,10,0.0,0.0
century,10,0.125,0.0
American,10,0.0,0.0
Slate Magazine,10,0.0,0.0
Wildlife,10,0.0,0.0
research,10,0.0,0.0
Connecticut,10,0.0,0.0
Clues,10,0.0,0.0
Bloomberg,10,0.0,0.0
Sea Shepherd,10,0.0,0.0
