id,sentiment140_score,sentiwordnet_score,created_at,favorite_count,hashtag_count,nouns_count,numerical_count,punctuation_count,retweets_count,uppercase_count,url_count,user_mentions_count,wiki_entities_count,word_count,url_in_newser,url_in_newser100
603621007614615552,2,0,Wed May 27 17:57:17 +0000 2015,0,0,1,0,2,0,13,1,0,7,15,0,0
600920304576135168,2,0,Wed May 20 07:05:39 +0000 2015,0,1,1,0,1,0,15,1,0,8,18,1,0
600920304576135168,2,0,Wed May 20 07:05:39 +0000 2015,0,1,1,0,1,0,15,1,0,8,18,1,0
600920304576135168,2,0,Wed May 20 07:05:39 +0000 2015,0,1,1,0,1,0,15,1,0,8,18,1,0
600920304576135168,2,0,Wed May 20 07:05:39 +0000 2015,0,1,1,0,1,0,15,1,0,8,18,1,0
596457968851267585,4,0,Thu May 07 23:33:56 +0000 2015,0,0,0,0,1,0,1,0,1,1,19,0,0
596457968851267585,4,0,Thu May 07 23:33:56 +0000 2015,0,0,0,0,1,0,1,0,1,1,19,0,0
596457968851267585,4,0,Thu May 07 23:33:56 +0000 2015,0,0,0,0,1,0,1,0,1,1,19,0,0
596457968851267585,4,0,Thu May 07 23:33:56 +0000 2015,0,0,0,0,1,0,1,0,1,1,19,0,0
607893529097039872,2,-0.5,Mon Jun 08 12:54:46 +0000 2015,0,0,2,0,3,0,12,1,0,5,15,0,0
591647718826737664,2,0,Fri Apr 24 16:59:43 +0000 2015,0,0,1,0,0,2,10,1,1,5,11,0,0
591647718826737664,2,0,Fri Apr 24 16:59:43 +0000 2015,0,0,1,0,0,2,10,1,1,5,11,0,0
586272881572708352,2,0.5,Thu Apr 09 21:02:02 +0000 2015,0,0,2,0,3,5,23,1,2,7,17,0,0
586272881572708352,2,0.5,Thu Apr 09 21:02:02 +0000 2015,0,0,2,0,3,5,23,1,2,7,17,0,0
586272881572708352,2,0.5,Thu Apr 09 21:02:02 +0000 2015,0,0,2,0,3,5,23,1,2,7,17,0,0
586272881572708352,2,0.5,Thu Apr 09 21:02:02 +0000 2015,0,0,2,0,3,5,23,1,2,7,17,0,0
586272881572708352,2,0.5,Thu Apr 09 21:02:02 +0000 2015,0,0,2,0,3,5,23,1,2,7,17,0,0
586272881572708352,2,0.5,Thu Apr 09 21:02:02 +0000 2015,0,0,2,0,3,5,23,1,2,7,17,0,0
604074960877940736,2,0,Fri May 29 00:01:08 +0000 2015,0,2,0,0,0,0,6,1,0,5,10,0,0
604074960877940736,2,0,Fri May 29 00:01:08 +0000 2015,0,2,0,0,0,0,6,1,0,5,10,0,0
604074960877940736,2,0,Fri May 29 00:01:08 +0000 2015,0,2,0,0,0,0,6,1,0,5,10,0,0
604074960877940736,2,0,Fri May 29 00:01:08 +0000 2015,0,2,0,0,0,0,6,1,0,5,10,0,0
576339934732111872,0,0,Fri Mar 13 11:12:02 +0000 2015,0,0,0,0,2,0,15,1,0,5,22,0,0
574949540853383168,2,0,Mon Mar 09 15:07:07 +0000 2015,0,1,2,0,2,2,10,1,1,4,18,0,0
589596071434813441,2,0,Sun Apr 19 01:07:12 +0000 2015,0,2,0,0,1,0,16,1,0,6,13,1,1
589596071434813441,2,0,Sun Apr 19 01:07:12 +0000 2015,0,2,0,0,1,0,16,1,0,6,13,1,1
589596071434813441,2,0,Sun Apr 19 01:07:12 +0000 2015,0,2,0,0,1,0,16,1,0,6,13,1,1
589596071434813441,2,0,Sun Apr 19 01:07:12 +0000 2015,0,2,0,0,1,0,16,1,0,6,13,1,1
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
601403922490601472,2,0,Thu May 21 15:07:23 +0000 2015,0,2,2,0,1,2,16,1,1,9,19,1,0
